オープニングとイベント告知
00:00: 番組開始と高山氏挨拶
00:41: 関東の雨と視聴者への注意喚起
02:26: チームみらいのイベント告知
03:44: 河合みちお氏登場と挨拶
04:25: 河合氏の活動報告と支援者への感謝

河合氏の教育政策
05:25: 河合氏の重点政策：教育
06:11: 現行教育システムの問題点
07:18: チームみらいの教育政策：AIを活用した個別最適化
08:21: 落ちこぼれ・吹きこぼれ対策とテクノロジーの役割
09:06: 教師の役割の変化：指導者からコーチへ
10:02: 学びのモチベーションと学校の価値
11:34: 教育DXの現状と未来の取り組み
12:39: AIによるオーダーメイドカリキュラムの具体例
13:42: 教育改革の進め方：成功事例からの展開
14:27: 学校給食の重要性と福祉的役割
16:39: AI時代の学び方の変化
17:26: AIリテラシーの変遷と教育におけるAIの活用法
19:16: 社会の変化に対応する教育カリキュラムの柔軟性
21:18: 教育政策への市民の反応
23:18: 教育のミクロとマクロな視点
24:18: 教育関係者間での情報連携の重要性
27:36: 発達特性を持つ子どもへのテクノロジー支援
30:15: 家庭での個別学習支援の可能性
31:34: 入学試験と教育改革の関係

社会人の学び直しとAIがもたらす社会変化
32:32: 社会人の学び直しとリスキリングの必要性
34:16: 社会人のリスキリング：デンマークの事例と「ゆとり」の提案
37:19: 学び直しのハードルと副業の可能性
38:24: AI進化がもたらす社会と人間の役割

教育現場とキャリアパスの多様化
39:11: 教員の労働環境改善と専門教育の推進
41:10: 教養教育と専門教育の選択肢
42:09: キャリアパスの多様化と社会関係資本の重要性
45:02: テクノロジーが社会関係に与える影響

その他の議題とイベント告知、エンディング
47:12: 次の配信への案内と通信状況確認
48:08: オンライン教材の無料公開とモチベーション格差
49:17: チームみらいの全国演説会告知（東京・関西・愛知）
52:24: チームみらいの神奈川個人演説会告知（りなくろ氏参加）
53:21: 発達障害のある子どもへの支援に関する考え
56:55: 大人の学び直しと趣味がもたらす豊かな社会
57:29: 閉会の挨拶と次の配信への誘導
