目次
● イベント開始前と準備
07:22 開始前の様子
12:51 準備と到着

● チームみらいの紹介と理念
13:14 みねしま氏自己紹介
15:04 チームみらいの紹介
16:20 チームみらいの強み
18:19 チームみらいの5つの考え方
19:33 参院選への抱負

● 黒岩氏の演説
21:37 演説開始
22:13 1年前の都知事選の経験
23:10 システムの欠陥を直す必要性
24:24 新党立ち上げの困難と現状
25:28 国政政党を目指す目標
25:59 政党助成金の活用方法
26:30 1%の革命
27:09 政治参加の怖さ

● みねしま氏の思いと問題提起
28:02 つなぎのトーク
28:58 みねしま氏が政治を目指した理由
30:08 SNSと分断の問題
31:23 安野氏との理念の合致

● 党首安野たかひろ氏の演説
32:37 演説開始
34:11 日本経済の停滞と現状
34:56 パイを大きくする議論の必要性
36:03 若者の政治参加の重要性
37:45 有権者を信じる政治
39:00 終わらせたい3つのこと：政治と金
41:56 終わらせたい3つのこと：その場しのぎの政治
43:03 終わらせたい3つのこと：声が届かない政治
44:49 参院選への呼びかけ
