"決算発表予定日
Scheduled Dates for Earnings Announcements","コード
Code",会社名,Issue Name,"決算期末
Fiscal Year-end",業種名,Industry,種別,Fiscal Year/Quarter,市場区分,Market Segment
2025-11-14 00:00:00,1379,ホクト,HOKUTO CORPORATION,2026-03-31 00:00:00,水産・農林業,"Fishery, Agriculture & Forestry",第２四半期,Second quarter,プライム,Prime
2025-11-14 00:00:00,1380,秋川牧園,"AKIKAWA FOODS & FARMS CO.,LTD.",2026-03-31 00:00:00,水産・農林業,"Fishery, Agriculture & Forestry",第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,142A,ジンジブ,"JINJIB Co.,Ltd.",2026-03-31 00:00:00,サービス業,Services,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,1438,岐阜造園,"Gifu landscape architect Co.,Ltd.",2025-09-30 00:00:00,建設業,Construction,本決算,Fiscal year,スタンダード,Standard
2025-11-14 00:00:00,143A,イシン,"Ishin Co.,Ltd.",2026-03-31 00:00:00,サービス業,Services,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,1443,技研ホールディングス,"Giken Holdings Co.,Ltd.",2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,1447,ＳＡＡＦホールディングス,"SAAF Holdings Co.,Ltd.",2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,160A,アズパートナーズ,"As Partners CO.,LTD.",2026-03-31 00:00:00,サービス業,Services,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,1711,ＳＤＳホールディングス,"SDS HOLDINGS Co.,Ltd.",2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,173A,ハンモック,Hammock Inc.,2026-03-31 00:00:00,情報・通信業,Information & Communication,第２四半期,Second quarter,グロース,Growth
2025-11-14 00:00:00,1783,ｆａｎｔａｓｉｓｔａ,"Fantasista Co.,Ltd.",2025-09-30 00:00:00,不動産業,Real Estate,本決算,Fiscal year,スタンダード,Standard
2025-11-14 00:00:00,1795,マサル,MASARU CORPORATION,2025-09-30 00:00:00,建設業,Construction,本決算,Fiscal year,スタンダード,Standard
2025-11-14 00:00:00,1799,第一建設工業,DAIICHI KENSETSU CORPORATION,2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,スタンダード,Standard
2025-11-14 00:00:00,1821,三井住友建設,"Sumitomo Mitsui Construction Co., Ltd.",2026-03-31 00:00:00,建設業,Construction,第２四半期,Second quarter,プライム,Prime
